name,bad_rows,total_requests,successful,failed,success_rate,sub_slo_count,slo_compliance,lat_mean,lat_p50,lat_p95,lat_p99,lat_max,server_samples,server_slo_compliance,server_p50,server_p95,server_p99,server_max,replicas_max,replicas_avg,replicas_seconds,duration_s
custom,0,9901,9455,446,95.4954045045955,7700,81.4383923849815,755.1402612374405,134.17,4042.06,8309.63,85680.21,9455,99.98942358540455,86.4641730004223,154.9034820000088,193.79101099912077,668.4001740004533,6,3.9954476479514414,2633,738
hpa70,0,9910,6445,3465,65.03531786074672,3356,52.07137315748642,2965.9847897595037,308.05,10304.53,13027.71,91029.04,6445,100.0,70.99575699976413,101.24711099979322,124.32095100029983,210.51301499937836,2,1.9969650986342944,1316,709
hpa90,0,9900,6140,3760,62.02020202020202,3381,55.065146579804555,2542.82282247557,219.6,10555.86,15817.17,91261.12,6140,100.0,70.63057800041861,97.36597600021923,121.63486300050863,325.15292200150725,2,2,1318,706
