ts,replicas,ready
1782296128.330,1,1
1782296129.331,1,1
1782296130.331,2,1
1782296131.332,2,1
1782296132.332,2,1
1782296133.332,2,1
1782296134.333,2,1
1782296135.333,2,1
1782296136.334,2,1
1782296137.334,2,2
1782296138.334,2,2
1782296139.334,2,2
1782296140.335,2,2
1782296141.335,2,2
1782296142.336,2,2
1782296143.336,2,2
1782296144.336,2,2
1782296145.337,2,2
1782296146.338,2,2
1782296147.338,2,2
1782296148.339,2,2
1782296149.339,2,2
1782296150.340,2,2
1782296151.340,2,2
1782296152.340,2,2
1782296153.341,2,2
1782296154.341,2,2
1782296155.342,2,2
1782296156.342,2,2
1782296157.342,2,2
1782296158.343,2,2
1782296159.343,2,2
1782296160.349,2,2
1782296161.349,2,2
1782296162.349,2,2
1782296163.350,2,2
1782296164.350,2,2
1782296165.350,2,2
1782296166.351,2,2
1782296167.351,2,2
1782296168.351,2,2
1782296169.351,2,2
1782296170.352,2,2
1782296171.352,2,2
1782296172.352,2,2
1782296173.353,2,2
1782296174.353,2,2
1782296175.353,2,2
1782296176.353,2,2
1782296177.354,2,2
1782296178.354,2,2
1782296179.354,2,2
1782296180.355,2,2
1782296181.355,2,2
1782296182.355,2,2
1782296183.356,2,2
1782296184.356,2,2
1782296185.356,2,2
1782296186.357,2,2
1782296187.357,2,2
1782296188.357,2,2
1782296189.358,2,2
1782296190.358,2,2
1782296191.358,2,2
1782296192.359,2,2
1782296193.359,2,2
1782296194.359,2,2
1782296195.359,2,2
1782296196.360,2,2
1782296197.360,2,2
1782296198.361,2,2
1782296199.361,2,2
1782296200.361,2,2
1782296201.362,2,2
1782296202.362,2,2
1782296203.362,2,2
1782296204.362,2,2
1782296205.363,2,2
1782296206.363,2,2
1782296207.363,2,2
1782296208.364,2,2
1782296209.364,2,2
1782296210.365,2,2
1782296211.365,2,2
1782296212.365,2,2
1782296213.366,2,2
1782296214.366,2,2
1782296215.366,2,2
1782296216.367,2,2
1782296217.367,2,2
1782296218.367,2,2
1782296219.368,2,2
1782296220.368,2,2
1782296221.368,2,2
1782296222.369,2,2
1782296223.369,2,2
1782296224.370,2,2
1782296225.370,2,2
1782296226.370,2,2
1782296227.371,2,2
1782296228.371,2,2
1782296229.372,2,2
1782296230.372,2,2
1782296231.372,2,2
1782296232.373,2,2
1782296233.373,2,2
1782296234.373,2,2
1782296235.374,2,2
1782296236.374,2,2
1782296237.374,2,2
1782296238.375,2,2
1782296239.375,2,2
