ts,replicas,ready
1782295668.151,2,2
1782295669.151,2,2
1782295670.151,2,2
1782295671.152,2,2
1782295672.152,2,2
1782295673.153,2,2
1782295674.153,2,2
1782295675.153,2,2
1782295676.153,2,2
1782295677.154,2,2
1782295678.154,2,2
1782295679.154,2,2
1782295680.154,2,2
1782295681.155,2,2
1782295682.155,2,2
1782295683.155,2,2
1782295684.156,2,2
1782295685.156,2,2
1782295686.156,2,2
1782295687.157,2,2
1782295688.157,2,2
1782295689.157,2,2
1782295690.158,2,2
1782295691.158,2,2
1782295692.159,2,2
1782295693.159,2,2
1782295694.159,2,2
1782295695.160,2,2
1782295696.160,2,2
1782295697.160,2,2
1782295698.161,2,2
1782295699.161,2,2
1782295700.161,2,2
1782295701.162,2,2
1782295702.162,2,2
1782295703.162,2,2
1782295704.163,2,2
1782295705.163,2,2
1782295706.163,2,2
1782295707.164,2,2
1782295708.164,6,2
1782295709.164,6,2
1782295710.165,6,2
1782295711.165,6,2
1782295712.165,6,0
1782295713.166,6,0
1782295714.166,6,0
1782295715.166,6,0
1782295716.167,6,0
1782295717.167,6,0
1782295718.168,6,0
1782295719.168,6,0
1782295720.168,6,0
1782295721.169,6,0
1782295722.169,6,0
1782295723.170,6,6
1782295724.170,6,6
1782295725.171,6,6
1782295726.171,6,6
1782295727.171,6,6
1782295728.171,6,6
1782295729.172,6,6
1782295730.172,6,6
1782295731.173,6,6
1782295732.173,6,6
1782295733.174,6,6
1782295734.174,6,6
1782295735.175,6,6
1782295736.175,6,6
1782295737.175,6,6
1782295738.176,6,6
1782295739.176,6,6
1782295740.177,6,5
1782295741.177,6,5
1782295742.177,6,5
1782295743.179,6,5
1782295744.180,6,5
1782295745.180,6,5
1782295746.183,6,5
1782295747.184,6,5
1782295748.184,6,5
1782295749.184,6,5
1782295750.185,6,5
1782295751.186,6,4
1782295752.186,6,4
1782295753.186,6,4
1782295754.187,6,4
1782295755.187,6,4
1782295756.188,6,3
1782295757.189,6,1
1782295758.189,6,1
1782295759.190,6,1
1782295760.190,6,1
1782295761.191,6,1
1782295762.191,6,5
1782295763.192,6,6
1782295764.192,6,6
1782295765.193,6,6
1782295766.193,6,6
1782295767.194,6,6
1782295768.194,6,6
1782295769.194,6,6
1782295770.195,6,6
1782295771.195,6,6
1782295772.195,6,6
1782295773.195,6,6
1782295774.196,6,5
1782295775.196,6,5
1782295776.196,6,5
1782295777.196,6,5
1782295778.197,6,5
1782295779.197,6,5
1782295780.198,6,5
1782295781.199,6,5
1782295782.199,6,5
1782295783.200,6,5
1782295784.200,6,5
1782295785.200,6,5
1782295786.201,6,6
1782295787.202,6,6
1782295788.202,6,6
1782295789.203,6,6
1782295790.203,6,6
1782295791.203,6,6
1782295792.204,6,6
1782295793.204,6,6
1782295794.205,6,6
1782295795.205,6,6
1782295796.205,6,6
1782295797.206,6,6
1782295798.206,6,6
1782295799.207,6,6
1782295800.207,6,6
1782295801.207,6,6
1782295802.207,6,6
1782295803.208,6,6
1782295804.208,6,6
1782295805.209,6,6
1782295806.209,6,6
1782295807.210,6,6
1782295808.210,6,6
1782295809.210,6,6
1782295810.211,6,6
1782295811.211,6,6
1782295812.211,6,6
1782295813.212,6,6
1782295814.212,6,6
1782295815.213,6,6
1782295816.213,6,6
1782295817.214,6,6
1782295818.214,6,6
1782295819.214,6,6
1782295820.214,6,6
1782295821.214,6,6
1782295822.215,6,6
1782295823.215,6,6
1782295824.216,6,6
1782295825.216,6,6
1782295826.217,6,6
1782295827.217,6,6
1782295828.218,6,6
1782295829.219,6,6
1782295830.219,6,6
1782295831.219,6,6
1782295832.220,6,6
1782295833.220,6,6
1782295834.221,6,6
1782295835.222,6,6
1782295836.222,6,6
1782295837.222,6,6
1782295838.223,6,6
1782295839.223,6,6
1782295840.223,6,6
1782295841.223,6,6
1782295842.224,6,6
1782295843.224,6,6
1782295844.225,6,6
1782295845.226,6,6
1782295846.226,6,6
1782295847.226,6,6
1782295848.227,6,6
1782295849.227,6,6
1782295850.227,6,6
1782295851.228,6,6
1782295852.229,6,6
1782295853.229,6,6
1782295854.230,6,6
1782295855.230,6,6
1782295856.230,6,6
1782295857.231,6,6
1782295858.231,6,6
1782295859.231,6,6
1782295860.232,6,6
1782295861.232,6,6
1782295862.233,6,6
1782295863.233,6,6
1782295864.233,6,6
1782295865.233,6,6
1782295866.233,6,6
1782295867.233,6,6
1782295868.234,6,6
1782295869.234,6,6
1782295870.235,6,6
1782295871.235,6,6
1782295872.235,6,6
1782295873.236,6,6
1782295874.236,6,6
1782295875.237,6,6
1782295876.237,6,6
1782295877.237,6,6
1782295878.238,6,6
1782295879.238,6,6
1782295880.238,6,6
1782295881.239,6,6
1782295882.239,6,6
1782295883.241,6,6
1782295884.242,6,6
1782295885.242,6,6
1782295886.242,6,6
1782295887.243,6,6
1782295888.243,6,6
1782295889.243,6,6
1782295890.244,6,6
1782295891.244,6,6
1782295892.245,6,6
1782295893.245,6,6
1782295894.246,6,6
1782295895.246,6,6
1782295896.247,6,6
1782295897.247,6,6
1782295898.247,6,6
1782295899.248,6,6
1782295900.248,6,6
1782295901.248,6,6
1782295902.249,6,6
1782295903.249,6,6
1782295904.250,6,6
1782295905.250,6,6
1782295906.250,6,6
1782295907.251,6,6
1782295908.251,6,6
1782295909.251,6,6
1782295910.252,6,6
1782295911.252,6,6
1782295912.253,6,6
1782295913.253,6,6
1782295914.254,6,6
1782295915.260,6,6
1782295916.260,6,6
1782295917.261,6,6
1782295918.261,6,6
1782295919.261,6,6
1782295920.261,6,6
1782295921.262,6,6
1782295922.262,6,6
1782295923.263,6,6
1782295924.263,6,6
1782295925.264,6,6
1782295926.264,6,6
1782295927.265,6,6
1782295928.265,6,6
1782295929.265,6,6
1782295930.265,6,6
1782295931.266,6,6
1782295932.266,6,6
1782295933.266,6,6
1782295934.266,6,6
1782295935.267,6,6
1782295936.267,6,6
1782295937.268,6,6
1782295938.268,6,6
1782295939.269,6,6
1782295940.269,6,6
1782295941.269,6,6
1782295942.270,6,6
1782295943.270,6,6
1782295944.270,6,6
1782295945.271,6,6
1782295946.271,6,6
1782295947.271,6,6
1782295948.271,6,6
1782295949.272,6,6
1782295950.272,6,6
1782295951.273,6,6
1782295952.273,6,6
1782295953.274,6,6
1782295954.274,6,6
1782295955.274,6,6
1782295956.275,6,6
1782295957.275,6,6
1782295958.275,6,6
1782295959.279,6,6
1782295960.280,6,6
1782295961.280,6,6
1782295962.280,6,6
1782295963.281,6,6
1782295964.281,6,6
1782295965.281,6,6
1782295966.282,6,6
1782295967.282,6,6
1782295968.282,5,5
1782295969.282,5,5
1782295970.283,5,5
1782295971.283,5,5
1782295972.284,5,5
1782295973.284,5,5
1782295974.284,5,5
1782295975.285,5,5
1782295976.285,5,5
1782295977.285,5,5
1782295978.285,5,5
1782295979.286,5,5
1782295980.286,5,5
1782295981.287,5,5
1782295982.287,5,5
1782295983.287,5,5
1782295984.287,5,5
1782295985.288,5,5
1782295986.288,5,5
1782295987.288,5,5
1782295988.289,5,5
1782295989.289,5,5
1782295990.289,5,5
1782295991.290,5,5
1782295992.290,5,5
1782295993.290,5,5
1782295994.290,5,5
1782295995.290,5,5
1782295996.291,5,5
1782295997.292,5,5
1782295998.292,5,5
1782295999.292,5,5
1782296000.292,5,5
1782296001.292,5,5
1782296002.293,5,5
1782296003.293,5,5
1782296004.294,5,5
1782296005.294,5,5
1782296006.294,5,5
1782296007.295,5,5
1782296008.295,5,5
1782296009.295,5,5
1782296010.296,5,5
1782296011.296,5,5
1782296012.297,5,5
1782296013.297,5,5
1782296014.298,5,5
1782296015.298,5,5
1782296016.299,5,5
1782296017.299,5,5
1782296018.300,5,5
1782296019.300,5,5
1782296020.301,5,5
1782296021.301,5,5
1782296022.301,5,5
1782296023.302,5,5
1782296024.302,5,5
1782296025.302,5,5
1782296026.303,5,5
1782296027.303,5,5
1782296028.303,5,5
1782296029.303,5,5
1782296030.304,5,5
1782296031.304,5,5
1782296032.304,5,5
1782296033.304,4,4
1782296034.305,4,4
1782296035.305,4,4
1782296036.305,4,4
1782296037.305,4,4
1782296038.306,4,4
1782296039.306,4,4
1782296040.306,4,4
1782296041.306,4,4
1782296042.307,4,4
1782296043.307,4,4
1782296044.307,4,4
1782296045.308,4,4
1782296046.308,4,4
1782296047.308,4,4
1782296048.309,4,4
1782296049.309,4,4
1782296050.309,4,4
1782296051.309,4,4
1782296052.310,4,4
1782296053.310,4,4
1782296054.310,4,4
1782296055.310,4,4
1782296056.310,4,4
1782296057.311,4,4
1782296058.311,4,4
1782296059.312,4,4
1782296060.312,4,4
1782296061.312,4,4
1782296062.313,4,4
1782296063.313,4,4
1782296064.313,4,4
1782296065.314,4,4
1782296066.314,4,4
1782296067.314,4,4
1782296068.314,4,4
1782296069.314,4,4
1782296070.315,4,4
1782296071.315,4,4
1782296072.315,4,4
1782296073.315,4,4
